epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.204,1.26422,1.29727,1.00992,0.79447,0.60258,0.67505,0.46455,1.14518,1.04507,1.00681,0.00998603,0.00332868,0.00998603,0.00332868,0.00998603,0.00332868,0.00998603,0.00332868
2,216.789,1.19463,0.87261,0.98813,0.79618,0.57101,0.6546,0.43756,1.2339,1.07824,1.0624,0.0197882,0.00659606,0.0197882,0.00659606,0.0197882,0.00659606,0.0197882,0.00659606
3,312.411,1.22069,0.84413,1.00248,0.77363,0.57398,0.6493,0.42631,1.27642,1.06153,1.09489,0.0293923,0.00979744,0.0293923,0.00979744,0.0293923,0.00979744,0.0293923,0.00979744
4,407.473,1.18608,0.79429,0.99976,0.74877,0.57984,0.6256,0.42059,1.25289,1.08891,1.09182,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,501.923,1.12137,0.72401,0.98137,0.79229,0.58554,0.65904,0.45004,1.18534,0.93369,1.06134,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,596.412,1.07845,0.68163,0.96697,0.77564,0.59499,0.65127,0.4444,1.19352,0.97378,1.07287,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,691.579,1.05321,0.64697,0.96001,0.74348,0.58831,0.62838,0.43236,1.17536,0.99659,1.06394,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,786.027,1.0222,0.61913,0.94644,0.76949,0.59193,0.6453,0.44507,1.1803,0.96307,1.06718,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,881.287,0.9996,0.59919,0.94033,0.79361,0.60568,0.66851,0.4654,1.1438,0.88254,1.04969,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,976.158,0.98274,0.58257,0.93751,0.80093,0.6027,0.66626,0.45861,1.16452,0.88488,1.06542,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1070,0.96605,0.56619,0.92958,0.82225,0.59802,0.67232,0.46536,1.15664,0.85973,1.06392,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1164.84,0.95189,0.55497,0.92612,0.80711,0.58279,0.65247,0.45328,1.1683,0.89714,1.06969,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1258.35,0.94242,0.54393,0.92089,0.79729,0.60047,0.66304,0.45846,1.17459,0.87801,1.07671,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1353.35,0.92743,0.53276,0.91459,0.80019,0.6094,0.67087,0.46968,1.142,0.86619,1.05725,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1447.69,0.91791,0.52424,0.91163,0.79918,0.58699,0.65235,0.45561,1.15708,0.91799,1.06249,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1542.9,0.90768,0.51437,0.90881,0.81365,0.59751,0.66668,0.46663,1.14301,0.87367,1.0588,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1637.32,0.89589,0.50665,0.90617,0.75823,0.59001,0.6327,0.43343,1.20751,0.97627,1.09372,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1730.64,0.89085,0.5018,0.9019,0.80041,0.60913,0.66542,0.46611,1.14249,0.87854,1.06256,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
