sequence,frame_id,legacy_candidate_count,pure_candidate_count,added_candidate_count,legacy_nearest_set,pure_nearest_set,legacy_full_pred,pure_full_pred,legacy_disagreement,pure_disagreement,nearest_changed,full_changed,disagreement_status_changed
400,1600938533486674,2,2,0,1,1,1,1,False,False,False,False,False
400,1600938533553308,2,2,0,1,1,1,1,False,False,False,False,False
400,1600938533619944,2,2,0,0,0,0,0,False,False,False,False,False
400,1600938533686583,2,2,0,0,0,0,0,False,False,False,False,False
400,1600938533753222,2,2,0,0,0,0,0,False,False,False,False,False
400,1600938533819859,3,3,0,0,0,0,0,False,False,False,False,False
400,1600938533886497,4,4,0,0,0,0,0,False,False,False,False,False
400,1600938533953135,4,4,0,0;1,0;1,0,0,False,False,False,False,False
400,1600938534019771,4,4,0,1;3,1;3,1,1,False,False,False,False,False
400,1600938534086408,4,4,0,2,2,2,2,False,False,False,False,False
400,1600938534153045,4,4,0,3,3,0,0,True,True,False,False,False
400,1600938534219681,4,4,0,0,0,0,0,False,False,False,False,False
400,1600938534286316,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534352951,4,4,0,2,2,1,1,True,True,False,False,False
400,1600938534419587,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534486220,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534552855,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534619491,4,4,0,0;1,0;1,1,1,False,False,False,False,False
400,1600938534686129,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534752767,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534819405,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938534886042,4,4,0,2,2,2,2,False,False,False,False,False
400,1600938534952679,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938535019316,3,4,1,2,2,2,2,False,False,False,False,False
400,1600938535085951,4,4,0,1,1,1,1,False,False,False,False,False
400,1600938535152588,4,4,0,1,1,1,1,False,False,False,False,False
401,1600938536751851,9,9,0,5,5,0,0,True,True,False,False,False
