sequence,frame_id,pred_id,confidence,pred_bbox,best_gt_id,best_iou,matched_gt_id,matched,status,reason,selection_candidate
400,1600938533486674,0,0.76757014,"[679.503,179.441,720.0,257.799]",4004648,0.8884537496367106,4004648,True,MATCHED,MATCHED,True
400,1600938533486674,1,0.54429984,"[702.345,252.744,719.668,315.734]",4004651,0.6320580915809251,4004651,True,MATCHED,MATCHED,True
400,1600938533553308,0,0.78820735,"[666.02,182.536,719.7,259.472]",4004648,0.8851911640293353,4004648,True,MATCHED,MATCHED,True
400,1600938533553308,1,0.77511913,"[689.558,234.854,719.377,319.602]",4004651,0.8561295623782896,4004651,True,MATCHED,MATCHED,True
400,1600938533619944,0,0.86112589,"[677.784,229.732,719.618,316.828]",4004651,0.8459323731135564,4004651,True,MATCHED,MATCHED,True
400,1600938533619944,1,0.8380869,"[654.804,173.977,720.0,255.83]",4004648,0.9207193292512187,4004648,True,MATCHED,MATCHED,True
400,1600938533619944,2,0.0669186,"[703.632,93.31,718.491,124.383]",4004648,0.0,,False,LOW_CONF,LOW_CONF,False
400,1600938533686583,0,0.89436966,"[662.706,227.292,719.947,320.108]",4004651,0.8695690236128587,4004651,True,MATCHED,MATCHED,True
400,1600938533686583,1,0.87538171,"[640.211,175.294,720.0,255.338]",4004648,0.9116688221232001,4004648,True,MATCHED,MATCHED,True
400,1600938533686583,2,0.07316963,"[698.329,929.225,719.805,1006.9]",4004648,0.0,,False,LOW_CONF,LOW_CONF,False
400,1600938533686583,3,0.06871264,"[712.711,524.651,720.0,548.927]",4004648,0.0,,False,LOW_CONF,LOW_CONF,False
400,1600938533686583,4,0.06488583,"[702.239,147.335,718.812,176.065]",4004648,0.0024074560664683834,,False,LOW_CONF,LOW_CONF,False
400,1600938533753222,0,0.90626949,"[648.798,228.451,719.901,325.263]",4004651,0.9257974406786048,4004651,True,MATCHED,MATCHED,True
400,1600938533753222,1,0.84380341,"[626.186,178.913,710.385,258.955]",4004648,0.9125325098404449,4004648,True,MATCHED,MATCHED,True
400,1600938533753222,2,0.25076655,"[702.174,319.09,719.314,376.249]",4004654,0.44909058994529943,,False,LOW_CONF,LOW_CONF,False
400,1600938533753222,3,0.20894302,"[699.097,315.053,719.591,366.49]",4004654,0.6357390085750906,,False,LOW_CONF,LOW_CONF,False
400,1600938533753222,4,0.15943775,"[702.91,345.56,719.259,382.513]",4004654,0.15655521223328608,,False,LOW_CONF,LOW_CONF,False
400,1600938533753222,5,0.05873394,"[705.87,354.001,720.0,382.174]",4004656,0.16046655298442838,,False,LOW_CONF,LOW_CONF,False
400,1600938533819859,0,0.92376983,"[636.134,224.679,720.0,320.302]",4004651,0.981485508247331,4004651,True,MATCHED,MATCHED,True
400,1600938533819859,1,0.85643834,"[614.33,174.926,697.432,254.445]",4004648,0.9042402761357413,4004648,True,MATCHED,MATCHED,True
400,1600938533819859,2,0.69004142,"[688.631,303.256,719.443,369.471]",4004654,0.7903597743162706,4004654,True,MATCHED,MATCHED,True
400,1600938533819859,3,0.24627624,"[707.421,369.08,720.0,423.16]",4004656,0.5317827764638319,,False,LOW_CONF,LOW_CONF,False
400,1600938533819859,4,0.22687948,"[703.855,368.137,719.109,423.019]",4004656,0.7289932551197627,,False,LOW_CONF,LOW_CONF,False
400,1600938533886497,0,0.91543031,"[620.867,225.014,718.629,320.787]",4004651,0.9160780404660858,4004651,True,MATCHED,MATCHED,True
400,1600938533886497,1,0.85983336,"[599.71,176.2,682.43,254.209]",4004648,0.8948660141113769,4004648,True,MATCHED,MATCHED,True
400,1600938533886497,2,0.79623759,"[692.72,356.795,720.0,427.692]",4004656,0.82095241142358,4004656,True,MATCHED,MATCHED,True
400,1600938533886497,3,0.79403317,"[674.592,296.48,719.586,367.483]",4004654,0.8660881993278715,4004654,True,MATCHED,MATCHED,True
400,1600938533886497,4,0.08755835,"[703.647,454.879,718.217,492.567]",4004654,0.0,,False,LOW_CONF,LOW_CONF,False
