sequence,frame_id,gt_objects,yolo_detections,conf_pass,conf_fail,matched_candidate_count,selection_candidate_count,unmatched_high_conf,iou_below_0_5,no_gt_overlap,greedy_conflict,unmatched_high_conf_rate
400,1600938533486674,2,2,2,0,2,2,0,0,0,0,0.0
400,1600938533553308,2,2,2,0,2,2,0,0,0,0,0.0
400,1600938533619944,2,3,2,1,2,2,0,0,0,0,0.0
400,1600938533686583,2,5,2,3,2,2,0,0,0,0,0.0
400,1600938533753222,4,6,2,4,2,2,0,0,0,0,0.0
400,1600938533819859,4,5,3,2,3,3,0,0,0,0,0.0
400,1600938533886497,4,8,4,4,4,4,0,0,0,0,0.0
400,1600938533953135,4,6,4,2,4,4,0,0,0,0,0.0
400,1600938534019771,4,9,4,5,4,4,0,0,0,0,0.0
400,1600938534086408,4,5,4,1,4,4,0,0,0,0,0.0
400,1600938534153045,4,5,4,1,4,4,0,0,0,0,0.0
400,1600938534219681,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534286316,4,5,4,1,4,4,0,0,0,0,0.0
400,1600938534352951,4,5,4,1,4,4,0,0,0,0,0.0
400,1600938534419587,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534486220,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534552855,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534619491,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534686129,4,6,4,2,4,4,0,0,0,0,0.0
400,1600938534752767,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534819405,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534886042,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938534952679,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938535019316,4,4,4,0,4,3,0,0,0,0,0.0
400,1600938535085951,4,4,4,0,4,4,0,0,0,0,0.0
400,1600938535152588,4,5,4,1,4,4,0,0,0,0,0.0
401,1600938536751851,10,12,9,3,9,9,0,0,0,0,0.0
401,1600938536818488,10,12,9,3,9,9,0,0,0,0,0.0
401,1600938536885126,10,13,9,4,9,9,0,0,0,0,0.0
401,1600938536951764,12,14,11,3,11,11,0,0,0,0,0.0
401,1600938537018400,12,18,12,6,11,11,1,0,0,1,0.08333333333333333
401,1600938537085037,12,16,12,4,10,10,2,2,0,0,0.16666666666666666
401,1600938537151673,12,18,12,6,10,10,2,1,0,1,0.16666666666666666
401,1600938537218310,12,15,9,6,8,8,1,1,0,0,0.1111111111111111
401,1600938537284944,11,15,9,6,9,9,0,0,0,0,0.0
401,1600938537351580,11,17,10,7,9,9,1,1,0,0,0.1
401,1600938537418215,11,17,9,8,9,9,0,0,0,0,0.0
401,1600938537484849,11,19,10,9,9,9,1,0,0,1,0.1
401,1600938537551483,10,14,9,5,9,9,0,0,0,0,0.0
401,1600938537618118,9,11,8,3,8,8,0,0,0,0,0.0
401,1600938537684754,9,14,10,4,9,8,1,0,0,1,0.1
401,1600938537751390,9,13,9,4,8,7,1,1,0,0,0.1111111111111111
401,1600938537818025,9,10,9,1,9,6,0,0,0,0,0.0
401,1600938537884660,9,13,9,4,9,7,0,0,0,0,0.0
401,1600938537951295,9,12,11,1,9,9,2,1,0,1,0.18181818181818182
401,1600938538017929,9,17,9,8,9,8,0,0,0,0,0.0
401,1600938538084562,10,14,9,5,9,9,0,0,0,0,0.0
401,1600938538151196,10,13,10,3,10,10,0,0,0,0,0.0
401,1600938538217830,12,13,10,3,10,10,0,0,0,0,0.0
401,1600938538284461,12,15,13,2,12,12,1,1,0,0,0.07692307692307693
401,1600938538351094,12,17,12,5,12,12,0,0,0,0,0.0
