sequence,frames,gt_objects,yolo_detections,conf_pass,conf_fail,matched,matched_candidate_count,selection_candidate_count,unmatched_high_conf,unmatched_rate,no_gt_overlap,iou_below_0_5,greedy_conflict
400,26,96,121,93,28,93,93,92,0,0.0,0,0,0
401,35,392,557,376,181,356,356,348,20,0.05319148936170213,3,12,5
402,29,368,494,304,190,283,283,282,21,0.06907894736842106,10,8,3
403,40,442,608,340,268,308,308,307,32,0.09411764705882353,14,17,1
404,35,301,415,239,176,202,202,199,37,0.15481171548117154,29,8,0
405,40,353,419,298,121,274,274,270,24,0.08053691275167785,13,7,4
406,40,477,550,375,175,354,354,350,21,0.056,10,9,2
407,40,494,851,440,411,360,360,341,80,0.18181818181818182,19,46,15
408,39,343,580,372,208,265,265,237,107,0.28763440860215056,61,30,16
409,40,276,507,279,228,234,234,218,45,0.16129032258064516,21,23,1
