sequence,frame_id,legacy_candidate_count,pure_candidate_count,added_candidate_count,added_pred_gt_depth,legacy_depth_min,legacy_depth_max,legacy_depth_range,pure_depth_min,pure_depth_max,pure_depth_range,depth_min_changed,depth_max_changed,depth_range_changed,legacy_nearest_set,pure_nearest_set,nearest_changed,nearest_change_class,added_candidate_is_pure_nearest,legacy_full_pred,pure_full_pred,full_changed,full_change_class,added_candidate_is_pure_full,legacy_full_legacy_proximity,legacy_full_legacy_score,legacy_full_pure_proximity,legacy_full_pure_score,pure_full_legacy_proximity,pure_full_legacy_score,pure_full_pure_proximity,pure_full_pure_score
400,1600938535019316,3,4,1,0:4004651:813.0,810.0,848.0,38.0,810.0,848.0,38.0,False,False,False,2,2,False,NEAREST_UNCHANGED,,2,2,False,FULL_UNCHANGED,,1.0,0.8099954524482089,1.0,0.8099954524482089,1.0,0.8099954524482089,1.0,0.8099954524482089
401,1600938537684754,8,9,1,7:4013466:888.0,708.0,929.0,221.0,708.0,929.0,221.0,False,False,False,6,6,False,NEAREST_UNCHANGED,,1,1,False,FULL_UNCHANGED,,0.5248868778280543,0.6207521058942449,0.5248868778280543,0.6207521058942449,0.5248868778280543,0.6207521058942449,0.5248868778280543,0.6207521058942449
401,1600938537751390,7,8,1,8:4013466:883.0,833.0,929.0,96.0,833.0,929.0,96.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,1,1,False,FULL_UNCHANGED,,1.0,0.7933384500250101,1.0,0.7933384500250101,1.0,0.7933384500250101,1.0,0.7933384500250101
401,1600938537818025,6,9,3,4:4013449:854.0;5:4013470:861.0;7:4013466:882.0,833.0,937.0,104.0,833.0,937.0,104.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,1,1,False,FULL_UNCHANGED,,1.0,0.7932149719267708,1.0,0.7932149719267708,1.0,0.7932149719267708,1.0,0.7932149719267708
401,1600938537884660,7,9,2,4:4013449:874.0;5:4013466:890.0,817.0,936.0,119.0,817.0,936.0,119.0,False,False,False,0,0,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,1.0,0.7929264773388721,1.0,0.7929264773388721,1.0,0.7929264773388721,1.0,0.7929264773388721
401,1600938538017929,8,9,1,6:4013470:838.0,822.0,938.0,116.0,822.0,938.0,116.0,False,False,False,2,2,False,NEAREST_UNCHANGED,,2,2,False,FULL_UNCHANGED,,1.0,0.7892618420188636,1.0,0.7892618420188636,1.0,0.7892618420188636,1.0,0.7892618420188636
402,1600938539683797,10,11,1,0:4024742:827.0,784.0,899.0,115.0,784.0,899.0,115.0,False,False,False,6,6,False,NEAREST_UNCHANGED,,6,6,False,FULL_UNCHANGED,,1.0,0.7353215406702334,1.0,0.7353215406702334,1.0,0.7353215406702334,1.0,0.7353215406702334
403,1600938542417597,7,8,1,5:4035128:844.0,914.0,1010.0,96.0,844.0,1010.0,166.0,True,False,True,0,5,True,NEW_CANDIDATE_NEAREST,5,0,5,True,DIRECT_NEW_FULL,5,1.0,0.7965351640475964,0.5783132530120482,0.6489448026018132,,,1.0,0.7211619017844408
404,1600938545550972,5,6,1,4:4044704:871.0,801.0,965.0,164.0,801.0,965.0,164.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,1,1,False,FULL_UNCHANGED,,1.0,0.8275675584447229,1.0,0.8275675584447229,1.0,0.8275675584447229,1.0,0.8275675584447229
404,1600938545617631,6,7,1,4:4044704:890.0,799.0,967.0,168.0,799.0,967.0,168.0,False,False,False,0,0,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,1.0,0.8311922084194105,1.0,0.8311922084194105,1.0,0.8311922084194105,1.0,0.8311922084194105
404,1600938545950931,3,4,1,3:4044704:839.0,794.0,852.0,58.0,794.0,852.0,58.0,False,False,False,0,0,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,1.0,0.8231929003282825,1.0,0.8231929003282825,1.0,0.8231929003282825,1.0,0.8231929003282825
405,1600938547684085,6,7,1,5:4054947:757.0,870.0,925.0,55.0,757.0,925.0,168.0,True,False,True,3,5,True,NEW_CANDIDATE_NEAREST,5,3,5,True,DIRECT_NEW_FULL,5,1.0,0.8053999260157556,0.3273809523809524,0.569983259349089,,,1.0,0.6446854724155363
405,1600938549483898,7,8,1,7:4054952:948.0,768.0,951.0,183.0,768.0,951.0,183.0,False,False,False,5,5,False,NEAREST_UNCHANGED,,5,5,False,FULL_UNCHANGED,,1.0,0.7904323284042627,1.0,0.7904323284042627,1.0,0.7904323284042627,1.0,0.7904323284042627
405,1600938549683879,7,8,1,1:4054970:762.0,873.0,4308.0,3435.0,762.0,4308.0,3546.0,True,False,True,2,1,True,NEW_CANDIDATE_NEAREST,1,0,0,False,FULL_UNCHANGED,,0.9988355167394468,0.8372865458678047,0.9675690919345742,0.8263432971860993,0.9988355167394468,0.8372865458678047,0.9675690919345742,0.8263432971860993
405,1600938549817198,8,9,1,7:4054952:952.0,758.0,949.0,191.0,758.0,952.0,194.0,False,True,True,0,0,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,1.0,0.8121266732694886,1.0,0.8121266732694886,1.0,0.8121266732694886,1.0,0.8121266732694886
406,1600938551350383,8,9,1,4:4062837:965.0,754.0,974.0,220.0,754.0,974.0,220.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,1,1,False,FULL_UNCHANGED,,1.0,0.8269746693126068,1.0,0.8269746693126068,1.0,0.8269746693126068,1.0,0.8269746693126068
406,1600938552550200,9,10,1,8:4062831:780.0,750.0,910.0,160.0,750.0,910.0,160.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,3,3,False,FULL_UNCHANGED,,0.9875,0.8364746310848464,0.9875,0.8364746310848464,0.9875,0.8364746310848464,0.9875,0.8364746310848464
406,1600938553483441,7,8,1,0:4062851:747.0,739.0,932.0,193.0,739.0,932.0,193.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,1,0,True,DIRECT_NEW_FULL,0,1.0,0.8454344398878084,1.0,0.8454344398878084,,,0.9585492227979274,0.8751638984504518
406,1600938553616762,6,7,1,5:4062850:753.0,740.0,917.0,177.0,740.0,917.0,177.0,False,False,False,1,1,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,0.9887005649717514,0.8894111378638863,0.9887005649717514,0.8894111378638863,0.9887005649717514,0.8894111378638863,0.9887005649717514,0.8894111378638863
407,1600938556749784,6,7,1,7:4074914:743.0,669.0,918.0,249.0,669.0,918.0,249.0,False,False,False,2,2,False,NEAREST_UNCHANGED,,2,2,False,FULL_UNCHANGED,,1.0,0.660864993257468,1.0,0.660864993257468,1.0,0.660864993257468,1.0,0.660864993257468
407,1600938557549717,9,10,1,7:4074908:664.0,687.0,862.0,175.0,664.0,862.0,198.0,True,False,True,4,7,True,NEW_CANDIDATE_NEAREST,7,4,4,False,FULL_UNCHANGED,,1.0,0.8002949381515171,0.8838383838383839,0.7596383724949514,1.0,0.8002949381515171,0.8838383838383839,0.7596383724949514
407,1600938557616378,9,10,1,8:4074908:668.0,683.0,835.0,152.0,668.0,835.0,167.0,True,False,True,3,8,True,NEW_CANDIDATE_NEAREST,8,3,3,False,FULL_UNCHANGED,,1.0,0.7961525683326265,0.9101796407185628,0.7647154425841234,1.0,0.7961525683326265,0.9101796407185628,0.7647154425841234
407,1600938557683039,10,11,1,6:4074928:702.0,690.0,880.0,190.0,690.0,880.0,190.0,False,False,False,5,5,False,NEAREST_UNCHANGED,,5,5,False,FULL_UNCHANGED,,1.0,0.7800444026544757,1.0,0.7800444026544757,1.0,0.7800444026544757,1.0,0.7800444026544757
407,1600938557749700,10,11,1,3:4074928:719.0,680.0,832.0,152.0,680.0,832.0,152.0,False,False,False,12,12,False,NEAREST_UNCHANGED,,6,6,False,FULL_UNCHANGED,,0.9276315789473685,0.7633674830825368,0.9276315789473685,0.7633674830825368,0.9276315789473685,0.7633674830825368,0.9276315789473685,0.7633674830825368
407,1600938557816360,9,10,1,3:4074928:707.0,687.0,831.0,144.0,687.0,831.0,144.0,False,False,False,7,7,False,NEAREST_UNCHANGED,,7,7,False,FULL_UNCHANGED,,1.0,0.7826958902969083,1.0,0.7826958902969083,1.0,0.7826958902969083,1.0,0.7826958902969083
407,1600938558349646,11,12,1,5:4074928:717.0,685.5,833.0,147.5,685.5,833.0,147.5,False,False,False,10,10,False,NEAREST_UNCHANGED,,7,7,False,FULL_UNCHANGED,,0.9898305084745763,0.7484537654106121,0.9898305084745763,0.7484537654106121,0.9898305084745763,0.7484537654106121,0.9898305084745763,0.7484537654106121
407,1600938558416306,8,10,2,3:4074923:771.0;4:4074928:711.0,691.0,834.0,143.0,691.0,834.0,143.0,False,False,False,7,7,False,NEAREST_UNCHANGED,,7,4,True,DIRECT_NEW_FULL,4,1.0,0.7554150908642773,1.0,0.7554150908642773,,,0.8601398601398601,0.7561323145104858
407,1600938558549628,11,12,1,4:4074928:719.0,682.0,827.0,145.0,682.0,827.0,145.0,False,False,False,8,8,False,NEAREST_UNCHANGED,,8,8,False,FULL_UNCHANGED,,1.0,0.7333811692406719,1.0,0.7333811692406719,1.0,0.7333811692406719,1.0,0.7333811692406719
407,1600938558682949,10,11,1,6:4074928:723.0,676.0,830.0,154.0,676.0,830.0,154.0,False,False,False,7,7,False,NEAREST_UNCHANGED,,5,5,False,FULL_UNCHANGED,,0.935064935064935,0.7312199422446282,0.935064935064935,0.7312199422446282,0.935064935064935,0.7312199422446282,0.935064935064935,0.7312199422446282
407,1600938558749610,9,10,1,5:4074928:711.0,681.0,830.0,149.0,681.0,830.0,149.0,False,False,False,4,4,False,NEAREST_UNCHANGED,,7,5,True,DIRECT_NEW_FULL,5,0.959731543624161,0.7080419345003754,0.959731543624161,0.7080419345003754,,,0.7986577181208053,0.7222063011276775
407,1600938558949592,6,9,3,3:4074923:769.0;4:4074928:717.0;6:4074908:742.0,694.0,827.0,133.0,694.0,827.0,133.0,False,False,False,8,8,False,NEAREST_UNCHANGED,,8,4,True,DIRECT_NEW_FULL,4,1.0,0.7276211597227624,1.0,0.7276211597227624,,,0.8270676691729323,0.7424087022210172
407,1600938559016252,5,7,2,2:4074928:702.0;4:4074923:777.0,751.0,833.0,82.0,702.0,833.0,131.0,True,False,True,3,2,True,NEW_CANDIDATE_NEAREST,2,3,2,True,DIRECT_NEW_FULL,2,1.0,0.7301459586143325,0.6259541984732825,0.5992299280799813,,,1.0,0.8138955144880126
407,1600938559082912,5,7,2,2:4074928:716.0;4:4074923:763.0,755.0,827.0,72.0,716.0,827.0,111.0,True,False,True,3,2,True,NEW_CANDIDATE_NEAREST,2,3,2,True,DIRECT_NEW_FULL,2,1.0,0.7318616059365785,0.6486486486486487,0.6088886329636056,,,1.0,0.8289864431905862
408,1600938560549420,8,9,1,8:4083017:860.0,695.0,849.0,154.0,695.0,860.0,165.0,False,True,True,5,5,False,NEAREST_UNCHANGED,,3,3,False,FULL_UNCHANGED,,0.8896103896103896,0.7676111529854271,0.896969696969697,0.7701869105611847,0.8896103896103896,0.7676111529854271,0.896969696969697,0.7701869105611847
408,1600938560682739,6,7,1,10:4083017:868.0,712.0,846.0,134.0,712.0,868.0,156.0,False,True,True,4,4,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,0.6716417910447762,0.7264836716278544,0.717948717948718,0.7426910960442341,0.6716417910447762,0.7264836716278544,0.717948717948718,0.7426910960442341
408,1600938560749397,6,7,1,7:4083017:865.0,704.0,839.0,135.0,704.0,865.0,161.0,False,True,True,5,5,False,NEAREST_UNCHANGED,,0,0,False,FULL_UNCHANGED,,0.6074074074074074,0.7106979259550987,0.6708074534161491,0.7328879420581582,0.6074074074074074,0.7106979259550987,0.6708074534161491,0.7328879420581582
