rank,sequence,frame_id,nearest_pred_id,nearest_gt_id,full_pred_id,full_gt_id,nearest_depth,full_depth,delta_depth,nearest_visibility,full_visibility,delta_visibility,nearest_confidence,full_confidence,nearest_center,full_center,nearest_full_score,full_full_score,nearest_set_size,candidate_count,representativeness_score,rgb_path,simple_image,audit_image,candidate_pool_definition
1,402,1600938539283987,5,4024719,1,4024742,814.0,827.0,13.0,0.6321017829089,0.7893524623532377,0.1572506794443378,0.87212014,0.91606522,0.35673790129026123,0.3419150490862515,0.7675652480662092,0.7690071894941963,1,12,0.07834904138562135,C:\DH_WORK\priority score\dataset_bulk\images\402\1600938539283987.tiff,C:\DH_WORK\priority score\v3_demo_rank01.png,C:\DH_WORK\priority score\v3_demo_rank01_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
2,402,1600938539950348,4,4024719,1,4024742,808.0,821.0,13.0,0.5562180503147883,0.7660128483530367,0.2097947980382484,0.87193739,0.91369665,0.25057060878825,0.6352068749015809,0.728838484412674,0.8113956443125767,1,11,0.16839213090157235,C:\DH_WORK\priority score\dataset_bulk\images\402\1600938539950348.tiff,C:\DH_WORK\priority score\v3_demo_rank02.png,C:\DH_WORK\priority score\v3_demo_rank02_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
3,407,1600938557883021,11,4074908,7,4074915,676.0,687.0,11.0,0.46312501009675755,0.6570613847520366,0.19393637465527902,0.31665787,0.82566714,0.29923170922358966,0.5012254291333053,0.5971538334125657,0.7635226143173458,1,11,0.17555544123042138,C:\DH_WORK\priority score\dataset_bulk\images\407\1600938557883021.tiff,C:\DH_WORK\priority score\v3_demo_rank03.png,C:\DH_WORK\priority score\v3_demo_rank03_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
4,407,1600938558149664,7,4074915,4,4074928,687.0,698.0,11.0,0.6330987356861358,0.7840245574939042,0.15092582180776837,0.84432137,0.86132008,0.3801309127670807,0.27260160361994157,0.7658135316209028,0.7759779028609299,1,12,0.18968250263544506,C:\DH_WORK\priority score\dataset_bulk\images\407\1600938558149664.tiff,C:\DH_WORK\priority score\v3_demo_rank04.png,C:\DH_WORK\priority score\v3_demo_rank04_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
5,408,1600938562149250,4,4083016,2,4083013,739.0,758.0,19.0,0.5999110797679039,0.7738463736368404,0.17393529386893647,0.82426518,0.86877334,0.18631584271243998,0.17661898309279594,0.7227737363372371,0.7394982017485199,1,6,0.24489795918367346,C:\DH_WORK\priority score\dataset_bulk\images\408\1600938562149250.tiff,C:\DH_WORK\priority score\v3_demo_rank05.png,C:\DH_WORK\priority score\v3_demo_rank05_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
6,404,1600938547017492,7,4044698,2,4044713,833.0,849.0,16.0,0.5616781018691289,0.7639391401575806,0.20226103828845166,0.62231183,0.86831158,0.20518651959936185,0.19783105796060768,0.6737437745006429,0.7166363638001888,1,7,0.25546343622387907,C:\DH_WORK\priority score\dataset_bulk\images\404\1600938547017492.tiff,C:\DH_WORK\priority score\v3_demo_rank06.png,C:\DH_WORK\priority score\v3_demo_rank06_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
7,406,1600938553950060,4,4062850,0,4062852,731.0,737.0,6.0,0.6659960810789144,0.8406930430823288,0.17469696200341445,0.56882727,0.9372831,0.4498441128242268,0.3818167399346219,0.7310408952473083,0.8169370439148917,1,5,0.28929099217400117,C:\DH_WORK\priority score\dataset_bulk\images\406\1600938553950060.tiff,C:\DH_WORK\priority score\v3_demo_rank07.png,C:\DH_WORK\priority score\v3_demo_rank07_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
8,408,1600938562015928,5,4083016,2,4083013,744.0,754.0,10.0,0.5663644539562925,0.7800931327188048,0.21372867876251223,0.82452542,0.88884115,0.19038785545049816,0.17763710761697388,0.7133725985044624,0.7767750692915208,1,7,0.30931416451958016,C:\DH_WORK\priority score\dataset_bulk\images\408\1600938562015928.tiff,C:\DH_WORK\priority score\v3_demo_rank08.png,C:\DH_WORK\priority score\v3_demo_rank08_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
9,400,1600938534153045,3,4004654,0,4004656,813.0,819.0,6.0,0.6519742689767403,0.8419838290225252,0.19000956004578495,0.84397089,0.90790319,0.18668387039676163,0.19779919077855687,0.7423890392525363,0.7570889085667842,1,4,0.36119720152423185,C:\DH_WORK\priority score\dataset_bulk\images\400\1600938534153045.tiff,C:\DH_WORK\priority score\v3_demo_rank09.png,C:\DH_WORK\priority score\v3_demo_rank09_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
10,403,1600938541416349,1,4035124,0,4035125,819.0,840.0,21.0,0.6033259713710791,0.7907805797608698,0.18745460838979067,0.89679605,0.92761326,0.25488294703461956,0.28457743226706333,0.7485894434665167,0.7677161680410477,1,9,0.3900157672472207,C:\DH_WORK\priority score\dataset_bulk\images\403\1600938541416349.tiff,C:\DH_WORK\priority score\v3_demo_rank10.png,C:\DH_WORK\priority score\v3_demo_rank10_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
11,406,1600938551950302,5,4062851,0,4062840,745.0,757.0,12.0,0.7626797047115443,0.8619225266227015,0.09924282191115719,0.77807683,0.90769178,0.22399334005227006,0.2390847970549206,0.7680182784213039,0.8075567809134696,1,7,0.3915636334618705,C:\DH_WORK\priority score\dataset_bulk\images\406\1600938551950302.tiff,C:\DH_WORK\priority score\v3_demo_rank11.png,C:\DH_WORK\priority score\v3_demo_rank11_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
12,403,1600938541549618,6,4035124,0,4035125,826.0,829.0,3.0,0.6055554622640107,0.7722917734310817,0.166736311167071,0.87416553,0.92192322,0.24055156113313256,0.262498969565793,0.742582478849173,0.7986288396460116,1,10,0.44196886484165965,C:\DH_WORK\priority score\dataset_bulk\images\403\1600938541549618.tiff,C:\DH_WORK\priority score\v3_demo_rank12.png,C:\DH_WORK\priority score\v3_demo_rank12_audit.png,PURE_MASK_NO_BBOX_DEPTH_FILTER
