sequence,frame_id,nearest_pred_id,nearest_gt_id,nearest_depth_mm,nearest_visibility,full_pred_id,full_gt_id,full_depth_mm,full_visibility,delta_depth_mm,delta_visibility
400,1600938534153045,3,4004654,813.0,0.6519742689767403,0,4004656,819.0,0.8419838290225252,6.0,0.19000956004578495
400,1600938534352951,2,4004654,815.0,0.6941891477747149,1,4004656,817.0,0.7836769754276411,2.0,0.08948782765292629
401,1600938536751851,5,4013451,775.0,0.5028944063076365,0,4013454,810.0,0.801276862397354,35.0,0.2983824560897175
401,1600938536818488,8,4013449,777.0,0.5018217012573383,1,4013454,813.0,0.7832233119649613,36.0,0.28140161070762304
401,1600938536885126,7,4013451,776.0,0.46888770987427236,0,4013454,813.0,0.8142979162155963,37.0,0.34541020634132397
401,1600938536951764,5,4013451,761.0,0.4376867345498094,1,4013454,808.0,0.8137863784603145,47.0,0.37609964391050515
401,1600938537018400,8,4013451,759.0,0.4091694167253578,2,4013454,813.0,0.7740130159048035,54.0,0.36484359917944575
401,1600938537085037,10,4013451,760.0,0.45911212881886876,1,4013454,819.0,0.7872071506930097,59.0,0.32809502187414097
401,1600938537151673,11,4013451,749.0,0.35138617110007114,2,4013454,815.0,0.8247161990070959,66.0,0.4733300279070248
401,1600938537551483,7,4013470,713.0,0.2818684186104272,0,4013472,827.0,0.7659013346202238,114.0,0.4840329160097966
401,1600938537618118,7,4013470,699.5,0.35826783134129997,1,4013472,829.0,0.7594320668956951,129.5,0.4011642355543951
401,1600938537684754,6,4013470,708.0,0.18624583557705096,1,4013472,813.0,0.7606574572400381,105.0,0.5744116216629871
401,1600938537951295,6,4013470,803.0,0.47506502581241905,1,4013472,819.0,0.7626231383702531,16.0,0.28755811255783403
401,1600938538084562,6,4013470,833.0,0.70361455107356,1,4013472,840.0,0.8214581628642231,7.0,0.11784361179066316
401,1600938538151196,6,4013470,825.0,0.7271935269671942,2,4013472,838.0,0.8047676963090742,13.0,0.07757416934188
401,1600938538750897,0,4013476,829.0,0.7793353023454348,5,4013449,830.0,0.8043904899787996,1.0,0.025055187633364784
402,1600938539283987,5,4024719,814.0,0.6321017829089,1,4024742,827.0,0.7893524623532377,13.0,0.1572506794443378
402,1600938539883711,5,4024719,786.0,0.5575562635824816,2,4024742,823.0,0.7634013642199883,37.0,0.20584510063750672
402,1600938539950348,4,4024719,808.0,0.5562180503147883,1,4024742,821.0,0.7660128483530367,13.0,0.2097947980382484
402,1600938540016985,3,4024719,812.0,0.5610166775017192,0,4024742,829.0,0.7626372594885529,17.0,0.20162058198683364
402,1600938540083622,3,4024719,825.0,0.5670114834420225,0,4024742,829.0,0.7544355642338346,4.0,0.18742408079181216
402,1600938540150258,3,4024719,806.0,0.603159971998336,0,4024742,825.0,0.7762051020705173,19.0,0.17304513007218125
402,1600938540216893,8,4024741,810.0,0.20410776557689933,0,4024742,832.0,0.7514587298778035,22.0,0.5473509643009041
402,1600938540283529,8,4024741,801.0,0.3005822840439406,0,4024742,821.0,0.7416214882457483,20.0,0.44103920420180764
402,1600938540350165,10,4024741,801.5,0.2782125709650359,0,4024742,825.0,0.7693711764857748,23.5,0.4911586055207389
402,1600938540416799,5,4024741,806.0,0.32092612045151986,0,4024742,827.0,0.7557943902568772,21.0,0.43486826980535737
402,1600938540616703,4,4024741,813.0,0.3948046002241334,0,4024742,833.0,0.7598811161785417,20.0,0.3650765159544083
402,1600938540683342,4,4024741,815.0,0.39495042627109384,0,4024742,825.0,0.7593499332088677,10.0,0.36439950693777384
402,1600938540749981,3,4024741,821.0,0.4116059207293689,0,4024742,828.0,0.7860200539642348,7.0,0.3744141332348659
402,1600938540816619,3,4024741,819.0,0.38767260697989964,0,4024742,831.0,0.7705004973715818,12.0,0.38282789039168214
402,1600938540949895,5,4024741,802.0,0.45510105714531246,0,4024742,824.0,0.7859763237857426,22.0,0.3308752666404301
403,1600938541416349,1,4035124,819.0,0.6033259713710791,0,4035125,840.0,0.7907805797608698,21.0,0.18745460838979067
403,1600938541482983,2,4035124,804.0,0.59642312184598,0,4035125,831.0,0.7838565242545112,27.0,0.18743340240853124
403,1600938541549618,6,4035124,826.0,0.6055554622640107,0,4035125,829.0,0.7722917734310817,3.0,0.166736311167071
403,1600938541749804,7,4035124,838.0,0.5625037798151185,0,4035125,840.0,0.8338811710542361,2.0,0.27137739123911764
403,1600938541816571,6,4035124,832.0,0.7221004241320036,0,4035125,835.0,0.8352132231940296,3.0,0.11311279906202598
403,1600938542083666,11,4035153,727.0,0.5279713918639886,8,4035125,824.0,0.9027042992255818,97.0,0.37473290736159326
403,1600938542150446,10,4035153,748.0,0.38145271531813774,4,4035128,854.0,0.5502273258288416,106.0,0.16877461051070386
403,1600938542350805,3,4035128,834.0,0.5582910508951643,4,4035143,948.0,0.9005988064044879,114.0,0.3423077555093236
404,1600938547017492,7,4044698,833.0,0.5616781018691289,2,4044713,849.0,0.7639391401575806,16.0,0.20226103828845166
404,1600938547217470,3,4044713,863.0,0.742416789197107,0,4044717,866.0,0.8941194755772169,3.0,0.15170268638010997
405,1600938547284129,2,4054957,870.0,0.7545757913472348,0,4054958,876.0,0.8659969141204645,6.0,0.11142112277322969
405,1600938547350789,3,4054957,864.0,0.7552514886345938,0,4054958,866.0,0.8451387507392507,2.0,0.08988726210465692
405,1600938547884062,5,4054947,859.0,0.46214131639656136,0,4054958,873.0,0.8526394820050426,14.0,0.3904981656084812
405,1600938548017382,2,4054957,877.0,0.8071787277553626,0,4054958,881.0,0.8347487733406193,4.0,0.027570045585256664
405,1600938548084040,2,4054955,873.0,0.7715010305633843,0,4054958,879.0,0.8451680313652731,6.0,0.07366700080188882
405,1600938548150699,6,4054947,878.0,0.4472880601899722,0,4054958,886.0,0.815622706729562,8.0,0.36833464653958986
405,1600938548217359,2,4054955,873.0,0.7876117136500499,1,4054958,880.0,0.8637518218908101,7.0,0.07614010824076023
405,1600938548350676,3,4054957,875.0,0.7852986097061152,0,4054958,877.0,0.7989480826557336,2.0,0.01364947294961838
405,1600938548483994,1,4054955,873.0,0.7764862612093842,0,4054958,880.0,0.8435125997284932,7.0,0.067026338519109
405,1600938548617313,2,4054955,870.0,0.775433888225798,0,4054958,880.0,0.8415620112693105,10.0,0.06612812304351257
405,1600938548750633,2,4054957,873.0,0.7711914458524043,0,4054958,877.0,0.8231189283644453,4.0,0.051927482512041045
405,1600938548817294,3,4054955,868.0,0.7896799094467157,0,4054958,875.0,0.8381537060583648,7.0,0.04847379661164908
405,1600938548950614,3,4054955,873.0,0.7735833556906939,0,4054958,879.0,0.8440243251863557,6.0,0.07044096949566181
405,1600938549017275,2,4054957,880.0,0.7695853144651952,1,4054958,882.0,0.7704659722341284,2.0,0.0008806577689332018
405,1600938549083935,2,4054957,873.0,0.7819342729609683,0,4054958,876.0,0.8622615383329876,3.0,0.08032726537201929
405,1600938549217256,3,4054957,874.0,0.7796841226139807,0,4054958,881.0,0.8472612596377042,7.0,0.06757713702372348
405,1600938549683879,1,4054970,762.0,0.8532123138066257,0,4054958,877.0,0.836388057069437,115.0,-0.01682425673718868
406,1600938551950302,5,4062851,745.0,0.7626797047115443,0,4062840,757.0,0.8619225266227015,12.0,0.09924282191115719
406,1600938552016958,5,4062852,743.0,0.8435054788396431,0,4062840,748.0,0.8463346288147606,5.0,0.0028291499751175175
406,1600938552216924,1,4062840,747.0,0.8383897216031838,0,4062851,749.0,0.8855061627031656,2.0,0.04711644109998181
406,1600938552483544,0,4062852,748.0,0.774373138837326,1,4062840,751.0,0.9094061531767984,3.0,0.13503301433947246
406,1600938552550200,1,4062851,750.0,0.8158924949711954,3,4062840,752.0,0.9452131697275304,2.0,0.12932067475633502
406,1600938552683516,0,4062852,751.0,0.7515323586517311,4,4062840,753.0,0.9171558774104659,2.0,0.16562351875873482
406,1600938552750176,0,4062852,748.0,0.7598657696876615,1,4062851,754.0,0.7985580574027431,6.0,0.0386922877150816
406,1600938552816836,11,4062840,752.0,1.0,0,4062851,753.0,0.8255560290233847,1.0,-0.17444397097661535
406,1600938552883497,0,4062852,748.0,0.8000460564566536,2,4062851,750.0,0.8015402443710717,2.0,0.0014941879144181325
406,1600938552950157,2,4062852,751.0,0.7408622805653841,0,4062851,754.0,0.8248145704056062,3.0,0.08395228984022218
406,1600938553016818,0,4062852,749.0,0.7635988661877241,2,4062851,750.0,0.829204988851495,1.0,0.06560612266377086
406,1600938553150138,0,4062852,743.0,0.7789607426641398,1,4062851,746.0,0.7747307853291822,3.0,-0.004229957334957679
406,1600938553216799,2,4062852,744.0,0.7622711500981268,0,4062851,751.0,0.7791498625130447,7.0,0.016878712414917896
406,1600938553416781,0,4062852,744.0,0.7977008486258943,1,4062851,751.0,0.7803203055712886,7.0,-0.01738054305460568
406,1600938553483441,1,4062852,739.0,0.8240653681029678,0,4062851,747.0,0.7907081209687932,8.0,-0.03335724713417465
406,1600938553616762,1,4062852,740.0,0.8423303664393899,0,4062851,742.0,0.7783675235637311,2.0,-0.06396284287565879
406,1600938553816741,5,4062850,735.0,0.7098826974106999,0,4062852,738.0,0.8446795963064042,3.0,0.13479689889570434
406,1600938553883401,4,4062850,731.0,0.6522342301501185,0,4062852,736.0,0.8437830883716763,5.0,0.19154885822155776
406,1600938553950060,4,4062850,731.0,0.6659960810789144,0,4062852,737.0,0.8406930430823288,6.0,0.17469696200341445
407,1600938556949767,1,4074908,671.0,0.43813129030018194,5,4074915,672.0,0.7080034285432906,1.0,0.26987213824310863
407,1600938557016428,3,4074908,672.0,0.420814216429776,2,4074915,676.0,0.4921889089924537,4.0,0.0713746925626777
407,1600938557083089,1,4074908,674.0,0.4499635596644741,4,4074915,681.0,0.6562421800447876,7.0,0.20627862038031353
407,1600938557283072,4,4074908,663.0,0.4732091251611064,5,4074915,681.0,0.5532569515707348,18.0,0.08004782640962843
407,1600938557349733,4,4074908,670.0,0.5048585116261715,3,4074915,678.0,0.6273669642768449,8.0,0.12250845265067345
407,1600938557416394,5,4074908,663.0,0.4821943275519286,4,4074915,687.0,0.5602340814956088,24.0,0.07803975394368023
407,1600938557483056,6,4074908,668.0,0.4803642807757683,3,4074915,688.0,0.5746373554640273,20.0,0.09427307468825896
407,1600938557549717,7,4074908,664.0,0.5203629198704104,4,4074915,687.0,0.5781999023473903,23.0,0.05783698247697988
407,1600938557616378,8,4074908,668.0,0.552811997084483,3,4074915,683.0,0.5697815667209218,15.0,0.016969569636438808
407,1600938557749700,12,4074908,680.0,0.6127440908591818,6,4074915,691.0,0.6123957551130751,11.0,-0.00034833574610670937
407,1600938557883021,11,4074908,676.0,0.46312501009675755,7,4074915,687.0,0.6570613847520366,11.0,0.19393637465527902
407,1600938558083003,12,4074908,681.0,0.4425725421750985,6,4074915,691.0,0.6943777130117748,10.0,0.25180517083667625
407,1600938558149664,7,4074915,687.0,0.6330987356861358,4,4074928,698.0,0.7840245574939042,11.0,0.15092582180776837
407,1600938558349646,10,4074908,685.5,0.5642350448722182,7,4074915,687.0,0.6741934058167679,1.5,0.1099583609445497
407,1600938558416306,7,4074915,691.0,0.7177850044327425,4,4074928,711.0,0.7859063516292859,20.0,0.06812134719654339
407,1600938558482967,6,4074915,685.0,0.6207631441648971,5,4074928,715.0,0.8134711366420048,30.0,0.19270799247710768
407,1600938558682949,7,4074908,676.0,0.43097692634609563,5,4074935,686.0,0.6823000344372279,10.0,0.25132310809113223
407,1600938558749610,4,4074908,681.0,0.5261313235720628,5,4074928,711.0,0.6903421905637684,30.0,0.16421086699170562
407,1600938558949592,8,4074915,694.0,0.8018319825900851,4,4074928,717.0,0.6482100074053729,23.0,-0.1536219751847122
408,1600938560549420,5,4083016,695.0,0.5029521804137521,3,4083012,712.0,0.8426409633639613,17.0,0.3396887829502092
408,1600938560616079,6,4083016,711.0,0.5132396975917685,5,4083012,719.0,0.8064565959999208,8.0,0.29321689840815235
408,1600938560682739,4,4083016,712.0,0.48127828010234414,0,4083005,756.0,0.7591270251260481,44.0,0.277848745023704
408,1600938560749397,5,4083016,704.0,0.5145603553764609,0,4083005,757.0,0.766007743361789,53.0,0.25144738798532806
