sequence_id,frame_id,candidate_count,full_prediction_id,full_gt_id,full_mask_depth,nearest_min_mask_depth,nearest_set_size,nearest_set_ids,full_visibility,nearest_set_max_visibility,full_confidence,nearest_set_max_confidence,full_center_score,nearest_set_max_center_score,delta_depth_mm,delta_visibility,delta_confidence,delta_center
400,1600938534153045,4,0,4004656,819.0,813.0,1,3,0.8419838290225252,0.6519742689767403,0.90790319,0.84397089,0.19779919077855687,0.18668387039676163,6.0,0.19000956004578495,0.06393229999999994,0.011115320381795246
400,1600938534352951,4,1,4004656,817.0,815.0,1,2,0.7836769754276411,0.6941891477747149,0.890257,0.85322702,0.20943690025575204,0.19737226950513662,2.0,0.08948782765292629,0.03702998000000002,0.012064630750615424
401,1600938536751851,9,0,4013454,810.0,775.0,1,5,0.801276862397354,0.5028944063076365,0.90312529,0.83548063,0.22566927223257235,0.1751750031717214,35.0,0.2983824560897175,0.06764466000000002,0.050494269060850944
401,1600938536818488,9,1,4013454,813.0,777.0,1,8,0.7832233119649613,0.5018217012573383,0.89501035,0.73763698,0.22084249733003633,0.22957089437197412,36.0,0.28140161070762304,0.15737336999999996,-0.008728397041937785
401,1600938536885126,9,0,4013454,813.0,776.0,1,7,0.8142979162155963,0.46888770987427236,0.90493149,0.83154708,0.2160880024323522,0.17096996728872776,37.0,0.34541020634132397,0.07338440999999996,0.045118035143624446
401,1600938536951764,11,1,4013454,808.0,761.0,1,5,0.8137863784603145,0.4376867345498094,0.89328492,0.83440572,0.21135223315764629,0.16970947899953895,47.0,0.37609964391050515,0.05887920000000002,0.04164275415810734
401,1600938537018400,11,2,4013454,813.0,759.0,1,8,0.7740130159048035,0.4091694167253578,0.89234304,0.76014745,0.20686933222288217,0.1680734987067886,54.0,0.36484359917944575,0.13219559000000003,0.038795833516093586
401,1600938537085037,10,1,4013454,819.0,760.0,1,10,0.7872071506930097,0.45911212881886876,0.8952502,0.62036109,0.20255620865410198,0.1653478520509945,59.0,0.32809502187414097,0.27488911000000005,0.03720835660310748
401,1600938537151673,10,2,4013454,815.0,749.0,1,11,0.8247161990070959,0.35138617110007114,0.88801211,0.31900245,0.19941297872239236,0.16541120182982322,66.0,0.4733300279070248,0.5690096600000001,0.03400177689256914
401,1600938537551483,9,0,4013472,827.0,713.0,1,7,0.7659013346202238,0.2818684186104272,0.90539563,0.43620101,0.19396555061696863,0.16750780870218748,114.0,0.4840329160097966,0.46919462,0.026457741914781147
401,1600938537618118,8,1,4013472,829.0,699.5,1,7,0.7594320668956951,0.35826783134129997,0.8925392,0.50893712,0.19750045631996332,0.1678947496195496,129.5,0.4011642355543951,0.38360207999999996,0.029605706700413736
401,1600938537684754,9,1,4013472,813.0,708.0,1,6,0.7606574572400381,0.18624583557705096,0.89403206,0.71538788,0.200253663216096,0.17279967037057228,105.0,0.5744116216629871,0.17864418000000004,0.027453992845523717
401,1600938537951295,9,1,4013472,819.0,803.0,1,6,0.7626231383702531,0.47506502581241905,0.89358395,0.74575043,0.21287075853796633,0.17747095716048866,16.0,0.28755811255783403,0.14783352000000005,0.03539980137747767
401,1600938538084562,9,1,4013472,840.0,833.0,1,6,0.8214581628642231,0.70361455107356,0.90121931,0.71822548,0.21950514379814148,0.18055503383942173,7.0,0.11784361179066316,0.18299383000000002,0.03895010995871975
401,1600938538151196,10,2,4013472,838.0,825.0,1,6,0.8047676963090742,0.7271935269671942,0.89596373,0.74860293,0.2218847269437324,0.18147010228793642,13.0,0.07757416934188,0.14736079999999996,0.04041462465579598
401,1600938538750897,12,5,4013449,830.0,829.0,1,0,0.8043904899787996,0.7793353023454348,0.87570357,0.91307825,0.48907755412681975,0.2492371782769426,1.0,0.025055187633364784,-0.03737467999999999,0.23984037584987714
402,1600938539283987,12,1,4024742,827.0,814.0,1,5,0.7893524623532377,0.6321017829089,0.91606522,0.87212014,0.3419150490862515,0.35673790129026123,13.0,0.1572506794443378,0.04394507999999997,-0.014822852204009751
402,1600938539883711,11,2,4024742,823.0,786.0,1,5,0.7634013642199883,0.5575562635824816,0.90804631,0.85254925,0.5882683792807865,0.2590181100602452,37.0,0.20584510063750672,0.05549705999999999,0.32925026922054124
402,1600938539950348,11,1,4024742,821.0,808.0,1,4,0.7660128483530367,0.5562180503147883,0.91369665,0.87193739,0.6352068749015809,0.25057060878825,13.0,0.2097947980382484,0.041759259999999965,0.3846362661133309
402,1600938540016985,11,0,4024742,829.0,812.0,1,3,0.7626372594885529,0.5610166775017192,0.9197191,0.875745,0.6961513946294616,0.24361130919042961,17.0,0.20162058198683364,0.043974100000000016,0.452540085439032
402,1600938540083622,10,0,4024742,829.0,825.0,1,3,0.7544355642338346,0.5670114834420225,0.91040963,0.88080955,0.7569639791747708,0.23715999323286036,4.0,0.18742408079181216,0.029600079999999918,0.5198039859419104
402,1600938540150258,9,0,4024742,825.0,806.0,1,3,0.7762051020705173,0.603159971998336,0.91458148,0.87820756,0.8185218992912469,0.2332633512273675,19.0,0.17304513007218125,0.03637391999999995,0.5852585480638793
402,1600938540216893,9,0,4024742,832.0,810.0,1,8,0.7514587298778035,0.20410776557689933,0.91393352,0.6322757,0.8369145250270238,0.37308072183825197,22.0,0.5473509643009041,0.28165782000000006,0.4638338031887718
402,1600938540283529,10,0,4024742,821.0,801.0,1,8,0.7416214882457483,0.3005822840439406,0.91817081,0.74753678,0.8051336045820013,0.37675014252125594,20.0,0.44103920420180764,0.17063403,0.4283834620607454
402,1600938540350165,10,0,4024742,825.0,801.5,1,10,0.7693711764857748,0.2782125709650359,0.92305797,0.55381858,0.740191538830497,0.3723747775250745,23.5,0.4911586055207389,0.36923939000000006,0.36781676130542257
402,1600938540416799,10,0,4024742,827.0,806.0,1,5,0.7557943902568772,0.32092612045151986,0.91892034,0.76132542,0.6838372418668116,0.3716730818180164,21.0,0.43486826980535737,0.15759491999999997,0.3121641600487952
402,1600938540616703,7,0,4024742,833.0,813.0,1,4,0.7598811161785417,0.3948046002241334,0.91600531,0.78354549,0.5374659660767558,0.3535223798864554,20.0,0.3650765159544083,0.13245982,0.18394358619030038
402,1600938540683342,6,0,4024742,825.0,815.0,1,4,0.7593499332088677,0.39495042627109384,0.92033434,0.79725009,0.4985691711305312,0.3480589820205504,10.0,0.36439950693777384,0.12308425,0.15051018910998076
402,1600938540749981,5,0,4024742,828.0,821.0,1,3,0.7860200539642348,0.4116059207293689,0.90530515,0.80740762,0.4687908494835812,0.3402062315108021,7.0,0.3744141332348659,0.09789753000000001,0.1285846179727791
402,1600938540816619,7,0,4024742,831.0,819.0,1,3,0.7705004973715818,0.38767260697989964,0.92096907,0.83825505,0.44373804594662686,0.32467660100007023,12.0,0.38282789039168214,0.08271401999999994,0.11906144494655663
402,1600938540949895,8,0,4024742,824.0,802.0,1,5,0.7859763237857426,0.45510105714531246,0.92005712,0.81098169,0.3999001404839155,0.31265209076511996,22.0,0.3308752666404301,0.10907542999999997,0.08724804971879552
403,1600938541416349,9,0,4035125,840.0,819.0,1,1,0.7907805797608698,0.6033259713710791,0.92761326,0.89679605,0.28457743226706333,0.25488294703461956,21.0,0.18745460838979067,0.03081721000000004,0.02969448523244378
403,1600938541482983,9,0,4035125,831.0,804.0,1,2,0.7838565242545112,0.59642312184598,0.92500198,0.89191258,0.2736922880803303,0.24736270001015465,27.0,0.18743340240853124,0.03308940000000005,0.026329588070175658
403,1600938541549618,10,0,4035125,829.0,826.0,1,6,0.7722917734310817,0.6055554622640107,0.92192322,0.87416553,0.262498969565793,0.24055156113313256,3.0,0.166736311167071,0.047757690000000075,0.021947408432660437
403,1600938541749804,10,0,4035125,840.0,838.0,1,7,0.8338811710542361,0.5625037798151185,0.92270982,0.85390431,0.2407334189988176,0.2200971061206096,2.0,0.27137739123911764,0.06880551000000001,0.020636312878207996
403,1600938541816571,10,0,4035125,835.0,832.0,1,6,0.8352132231940296,0.7221004241320036,0.92160034,0.86646479,0.2368359566234755,0.21569989091905303,3.0,0.11311279906202598,0.05513555000000003,0.021136065704422474
403,1600938542083666,11,8,4035125,824.0,727.0,1,11,0.9027042992255818,0.5279713918639886,0.65819311,0.52477455,0.22220178793109727,0.1438162476290817,97.0,0.37473290736159326,0.13341856000000007,0.07838554030201556
403,1600938542150446,9,4,4035128,854.0,748.0,1,10,0.5502273258288416,0.38145271531813774,0.88584787,0.43876687,0.27776599700944277,0.1452205417605212,106.0,0.16877461051070386,0.447081,0.13254545524892156
403,1600938542350805,7,4,4035143,948.0,834.0,1,3,0.9005988064044879,0.5582910508951643,0.86989808,0.87403101,0.2641380969241975,0.24867490093823985,114.0,0.3423077555093236,-0.004132930000000035,0.015463195985957634
404,1600938547017492,7,2,4044713,849.0,833.0,1,7,0.7639391401575806,0.5616781018691289,0.86831158,0.62231183,0.19783105796060768,0.20518651959936185,16.0,0.20226103828845166,0.24599974999999996,-0.007355461638754168
404,1600938547217470,5,0,4044717,866.0,863.0,1,3,0.8941194755772169,0.742416789197107,0.92477041,0.87880874,0.23161722864448772,0.21173183677622096,3.0,0.15170268638010997,0.045961670000000066,0.019885391868266766
405,1600938547284129,6,0,4054958,876.0,870.0,1,2,0.8659969141204645,0.7545757913472348,0.93489188,0.88901275,0.2351748234683143,0.2164878463004686,6.0,0.11142112277322969,0.04587912999999999,0.018686977167845703
405,1600938547350789,6,0,4054958,866.0,864.0,1,3,0.8451387507392507,0.7552514886345938,0.92455471,0.87699801,0.24150597415706312,0.22076173023250423,2.0,0.08988726210465692,0.04755670000000001,0.020744243924558897
405,1600938547884062,7,0,4054958,873.0,859.0,1,5,0.8526394820050426,0.46214131639656136,0.93274122,0.74001676,0.3274359796454041,0.22445835165336778,14.0,0.3904981656084812,0.19272446,0.10297762799203633
405,1600938548017382,8,0,4054958,881.0,877.0,1,2,0.8347487733406193,0.8071787277553626,0.92039144,0.90686613,0.3566333175119897,0.2669023439145837,4.0,0.027570045585256664,0.013525309999999902,0.089730973597406
405,1600938548084040,8,0,4054958,879.0,873.0,1,2,0.8451680313652731,0.7715010305633843,0.92114788,0.90560275,0.3729059157430644,0.22048903756769905,6.0,0.07366700080188882,0.015545130000000018,0.15241687817536537
405,1600938548150699,8,0,4054958,886.0,878.0,1,6,0.815622706729562,0.4472880601899722,0.92557508,0.78084207,0.3916948051033796,0.20824007208497294,8.0,0.36833464653958986,0.14473300999999994,0.18345473301840667
405,1600938548217359,7,1,4054958,880.0,873.0,1,2,0.8637518218908101,0.7876117136500499,0.92234319,0.91008061,0.4094330215527924,0.2234039529342505,7.0,0.07614010824076023,0.012262580000000023,0.18602906861854188
405,1600938548350676,8,0,4054958,877.0,875.0,1,3,0.7989480826557336,0.7852986097061152,0.91572833,0.88188398,0.45040168545029363,0.277613669255955,2.0,0.01364947294961838,0.03384434999999997,0.17278801619433865
405,1600938548483994,5,0,4054958,880.0,873.0,2,1;3,0.8435125997284932,0.7764862612093842,0.9285543,0.91389185,0.4961572489213091,0.27748876915680915,7.0,0.067026338519109,0.014662450000000105,0.21866847976449993
405,1600938548617313,6,0,4054958,880.0,870.0,1,2,0.8415620112693105,0.775433888225798,0.92745715,0.90972966,0.5351277387733918,0.22515739566082033,10.0,0.06612812304351257,0.017727489999999957,0.3099703431125715
